pmcid,pmid,doi,title,abstract,year,journal,authors,matched_parts,retrieval_reason
PMC4650599,26023068,10.1038/srep10658,"RiboTALE: A modular, inducible system for accurate gene expression control","A limiting factor in synthetic gene circuit design is the number of independent control elements that can be combined together in a single system. Here, we present RiboTALEs, a new class of inducible repressors that combine the specificity of TALEs with the ability of riboswitches to recognize exogenous signals and differentially control protein abundance. We demonstrate the capacity of RiboTALEs, constructed through different combinations of TALE proteins and riboswitches, to rapidly and reproducibly control the expression of downstream targets with a dynamic range of 243.7 ± 17.6-fold, which is adequate for many biotechnological applications.",2015,Scientific Reports,"Rai N., Ferreiro A., Neckelmann A., Soon A., Yao A., Siegel J., Facciotti M., Tagkopoulos I.",BBa_G00101,biobrick_fulltext_search
PMC4609045,26474754,10.1186/s12934-015-0355-9,Genetic and nutrient modulation of acetyl-CoA levels in Synechocystis for n-butanol production,"There is a strong interest in using photosynthetic cyanobacteria as production hosts for biofuels and chemicals. Recent work has shown the benefit of pathway engineering, enzyme tolerance, and co-factor usage for improving yields of fermentation products. An n-butanol pathway was inserted into a Synechocystis mutant deficient in polyhydroxybutyrate synthesis. We found that nitrogen starvation increased specific butanol productivity up to threefold, but cessation of cell growth limited total n-butanol titers. Metabolite profiling showed that acetyl-CoA increased twofold during nitrogen starvation. Introduction of a phosphoketolase increased acetyl-CoA levels sixfold at nitrogen replete conditions and increased butanol titers from 22 to 37 mg/L at day 8. Flux balance analysis of photoautotrophic metabolism showed that a Calvin–Benson–Bassham-Phosphoketolase pathway had higher theoretical butanol productivity than CBB-Embden–Meyerhof–Parnas and a reduced butanol ATP demand. These results demonstrate that phosphoketolase overexpression and modulation of nitrogen levels are two attractive routes toward increased production of acetyl-CoA derived products in cyanobacteria and could be implemented with complementary metabolic engineering strategies. The online version of this article (doi:10.1186/s12934-015-0355-9) contains supplementary material, which is available to authorized users.",2015,Microbial Cell Factories,"Anfelt J., Kaczmarzyk D., Shabestary K., Renberg B., Rockberg J., Nielsen J., Uhlén M., Hudson E.",BBa_B0034,biobrick_fulltext_search
PMC4499127,25979263,10.1093/nar/gkv499,De novo design of heat-repressible RNA thermosensors in E. coli,"RNA-based temperature sensing is common in bacteria that live in fluctuating environments. Most naturally-occurring RNA thermosensors are heat-inducible, have long sequences, and function by sequestering the ribosome binding site in a hairpin structure at lower temperatures. Here, we demonstrate the de novo design of short, heat-repressible RNA thermosensors. These thermosensors contain a cleavage site for RNase E, an enzyme native to Escherichia coli and many other organisms, in the 5′ untranslated region of the target gene. At low temperatures, the cleavage site is sequestered in a stem–loop, and gene expression is unobstructed. At high temperatures, the stem–loop unfolds, allowing for mRNA degradation and turning off expression. We demonstrated that these thermosensors respond specifically to temperature and provided experimental support for the central role of RNase E in the mechanism. We also demonstrated the modularity of these RNA thermosensors by constructing a three-input composite circuit that utilizes transcriptional, post-transcriptional, and post-translational regulation. A thorough analysis of the 24 thermosensors allowed for the development of design guidelines for systematic construction of similar thermosensors in future applications. These short, modular RNA thermosensors can be applied to the construction of complex genetic circuits, facilitating rational reprogramming of cellular processes for synthetic biology applications.",2015,Nucleic Acids Research,"Hoynes-O'Connor A., Hinman K., Kirchner L., Moon T.",BBa_J23104,biobrick_fulltext_search
PMC4575469,26387086,10.1186/s13104-015-1425-0,Analysis of the leakage of gene repression by an artificial TetR-regulated promoter in cyanobacteria,"There is a need for strong and tightly regulated promoters to construct more reliable and predictable genetic modules for synthetic biology and metabolic engineering. For this reason we have previously constructed a TetR regulated L promoter library for the cyanobacterium Synechocystis PCC 6803. In addition to the L03 promoter showing wide dynamic range of transcriptional regulation, we observed the L09 promoter as unique in high leaky gene expression under repressed conditions. In the present study, we attempted to identify the cause of L09 promoter leakage. TetR binding to the promoter was studied by theoretical simulations of DNA breathing dynamics and by surface plasmon resonance (SPR) biosensor technology to analyze the kinetics of the DNA–protein interactions. DNA breathing dynamics of a promoter was computed with the extended nonlinear Peyrard–Bishop–Dauxois mesoscopic model to yield a DNA opening probability profile at a single nucleotide resolution. The L09 promoter was compared to the L10, L11, and L12 promoters that were point-mutated and different in repressed promoter strength. The difference between DNA opening probability profiles is trivial on the TetR binding site. Furthermore, the kinetic rate constants of TetR binding, as measured by SPR biosensor technology, to the respective promoters are practically identical. This suggests that a trivial difference in probability as low as 1 × 10−4 cannot lead to detectable variations in the DNA–protein interactions. Higher probability at the downstream region of transcription start site of the L09 promoter compared to the L10, L11, and L12 promoters was observed. Having practically the same kinetics of binding to TetR, the leakage problem of the L09 promoter might be due to enhanced RNA Polymerase (RNAP)-promoter interactions in the downstream region. Both theoretical and experimental analyses of the L09 promoter’s leakage problem exclude a mechanism of reduced TetR binding but instead suggest enhanced RNAP binding. These results assist in creating more tightly regulated promoters for realizing synthetic biology and metabolic engineering in biotechnological applications.",2015,BMC Research Notes,"Huang H., Seeger C., Helena Danielson U., Lindblad P.",BBa_B0015,biobrick_fulltext_search
PMC4562711,26348036,10.1371/journal.pone.0137421,Impact of Residual Inducer on Titratable Expression Systems,"Inducible expression systems are widely employed for the titratable control of gene expression, yet molecules inadvertently present in the growth medium or synthesized by the host cells can alter the response profile of some of these systems. Here, we explored the quantitative impact of these residual inducers on the apparent response properties of inducible systems. Using a simple mathematical model, we found that the presence of residual inducer shrinks the apparent dynamic range and causes the apparent Hill coefficient to converge to one. We also found that activating systems were more sensitive than repressing systems to the presence of residual inducer and the response parameters were most heavily dependent on the original Hill coefficient. Experimental interrogation of common titratable systems based on an L-arabinose inducible promoter or a thiamine pyrophosphate-repressing riboswitch in Escherichia coli confirmed the predicted trends. We finally found that residual inducer had a distinct effect on “all-or-none” systems, which exhibited increased sensitivity to the added inducer until becoming fully induced. Our findings indicate that residual inducer or repressor alters the quantitative response properties of titratable systems, impacting their utility for scientific discovery and pathway engineering.",2015,PLoS ONE,"Afroz T., Luo M., Beisel C.",BBa_J23119,biobrick_fulltext_search
PMC4554450,25865486,10.1002/mbo3.257,Scaffold-fused riboregulators for enhanced gene activation in Synechocystis sp. PCC 6803,"Cyanobacteria are an attractive host for biofuel production because they can produce valuable chemical compounds from CO2 fixed by photosynthesis. However, the available genetic tools that enable precise gene regulation for the applications of synthetic biology are insufficient. Previously, we engineered an RNA-based posttranscriptional regulator, termed riboregulator, for the control of target gene expression in cyanobacterium Synechocystis sp. PCC 6803. Moreover, we enhanced the gene regulation ability of the riboregulators in Escherichia coli by fusing and engineering a scaffold sequence derived from naturally occurring E. coli noncoding small RNAs. Here, we demonstrated that the scaffold sequence fused to the riboregulators improved their gene regulation ability in Synechocystis sp. PCC 6803. To further improve gene regulation, we expressed an exogenous RNA chaperone protein that is responsible for noncoding small RNA-mediated gene regulation, which resulted in higher target gene expression. The scaffold sequence derived from natural E. coli noncoding small RNAs is effective for designing RNA-based genetic tools and scaffold-fused riboregulators are a strong RNA-tool to regulate gene expression in cyanobacteria.",2015,MicrobiologyOpen,"Sakai Y., Abe K., Nakashima S., Ellinger J., Ferri S., Sode K., Ikebukuro K.",BBa_B0015,biobrick_fulltext_search
PMC4561953,26346938,10.1038/srep13853,Pathway optimization by re-design of untranslated regions for L-tyrosine production in Escherichia coli,"L-tyrosine is a commercially important compound in the food, pharmaceutical, chemical, and cosmetic industries. Although several attempts have been made to improve L-tyrosine production, translation-level expression control and carbon flux rebalancing around phosphoenolpyruvate (PEP) node still remain to be achieved for optimizing the pathway. Here, we demonstrate pathway optimization by altering gene expression levels for L-tyrosine production in Escherichia coli. To optimize the L-tyrosine biosynthetic pathway, a synthetic constitutive promoter and a synthetic 5′-untranslated region (5′-UTR) were introduced for each gene of interest to allow for control at both transcription and translation levels. Carbon flux rebalancing was achieved by controlling the expression level of PEP synthetase using UTR Designer. The L-tyrosine productivity of the engineered E. coli strain was increased through pathway optimization resulting in 3.0 g/L of L-tyrosine titer, 0.0354 g L-tyrosine/h/g DCW of productivity, and 0.102 g L-tyrosine/g glucose yield. Thus, this work demonstrates that pathway optimization by 5′-UTR redesign is an effective strategy for the development of efficient L-tyrosine-producing bacteria.",2015,Scientific Reports,"Cheol Kim S., Eun Min B., Gyu Hwang H., Woo Seo S., Yeol Jung G.",BBa_J23100,biobrick_fulltext_search
PMC4559943,26347006,10.1186/s13068-015-0327-7,Modular design of metabolic network for robust production of n-butanol from galactose–glucose mixtures,"Refactoring microorganisms for efficient production of advanced biofuel such as n-butanol from a mixture of sugars in the cheap feedstock is a prerequisite to achieve economic feasibility in biorefinery. However, production of biofuel from inedible and cheap feedstock is highly challenging due to the slower utilization of biomass-driven sugars, arising from complex assimilation pathway, difficulties in amplification of biosynthetic pathways for heterologous metabolite, and redox imbalance caused by consuming intracellular reducing power to produce quite reduced biofuel. Even with these problems, the microorganisms should show robust production of biofuel to obtain industrial feasibility. Thus, refactoring microorganisms for efficient conversion is highly desirable in biofuel production. In this study, we engineered robust Escherichia coli to accomplish high production of n-butanol from galactose–glucose mixtures via the design of modular pathway, an efficient and systematic way, to reconstruct the entire metabolic pathway with many target genes. Three modular pathways designed using the predictable genetic elements were assembled for efficient galactose utilization, n-butanol production, and redox re-balancing to robustly produce n-butanol from a sugar mixture of galactose and glucose. Specifically, the engineered strain showed dramatically increased n-butanol production (3.3-fold increased to 6.2 g/L after 48-h fermentation) compared to the parental strain (1.9 g/L) in galactose-supplemented medium. Moreover, fermentation with mixtures of galactose and glucose at various ratios from 2:1 to 1:2 confirmed that our engineered strain was able to robustly produce n-butanol regardless of sugar composition with simultaneous utilization of galactose and glucose. Collectively, modular pathway engineering of metabolic network can be an effective approach in strain development for optimal biofuel production with cost-effective fermentable sugars. To the best of our knowledge, this study demonstrated the first and highest n-butanol production from galactose in E. coli. Moreover, robust production of n-butanol with sugar mixtures with variable composition would facilitate the economic feasibility of the microbial process using a mixture of sugars from cheap biomass in the near future. The online version of this article (doi:10.1186/s13068-015-0327-7) contains supplementary material, which is available to authorized users.",2015,Biotechnology for Biofuels,"Lim H., Lim J., Jung G.",BBa_J23100,biobrick_fulltext_search
PMC4534122,26264597,10.1186/s12934-015-0301-x,Modification of targets related to the Entner–Doudoroff/pentose phosphate pathway route for methyl-d-erythritol 4-phosphate-dependent carotenoid biosynthesis in Escherichia coli,"In engineered strains of Escherichia coli, bioconversion efficiency is determined by not only metabolic flux but also the turnover efficiency of relevant pathways. Methyl-d-erythritol 4-phosphate (MEP)-dependent carotenoid biosynthesis in E. coli requires efficient turnover of precursors and balanced flux among precursors, cofactors, and cellular energy. However, the imbalanced supply of glyceraldehyde 3-phosphate (G3P) and pyruvate precursors remains the major metabolic bottleneck. To address this problem, we manipulated various genetic targets related to the Entner–Doudoroff (ED)/pentose phosphate (PP) pathways. Systematic target modification was conducted to improve G3P and pyruvate use and rebalance the precursor and redox fluxes. Carotenoid production was improved to different degrees by modifying various targets in the Embden–Meyerhof–Parnas (EMP) and ED pathways, which directed metabolic flux from the EMP pathway towards the ED pathway. The improvements in yield were much greater when the MEP pathway was enhanced. The coordinated modification of ED and MEP pathway targets using gene expression enhancement and protein coupling strategies in the pgi deletion background further improved carotenoid synthesis. The fine-tuning of flux at the branch point between the ED and PP pathways was important for carotenoid biosynthesis. Deletion of pfkAB instead of pgi reduced the carotenoid yield. This suggested that anaplerotic flux of G3P and pyruvate might be necessary for carotenoid biosynthesis. Improved carotenoid yields were accompanied by increased biomass and decreased acetate overflow. Therefore, efficient use of G3P and pyruvate precursors resulted in a balance among carotenoid biosynthesis, cell growth, and by-product metabolism. An efficient and balanced MEP-dependent carotenoid bioconversion strategy involving both the ED and PP pathways was implemented by the coordinated modification of diverse central metabolic pathway targets. In this strategy, enhancement of the ED pathway for efficient G3P and pyruvate turnover was crucial for carotenoid production. The anaplerotic role of the PP pathway was important to supply precursors for the ED pathway. A balanced metabolic flux distribution among precursor supply, NADPH generation, and by-product pathways was established. The online version of this article (doi:10.1186/s12934-015-0301-x) contains supplementary material, which is available to authorized users.",2015,Microbial Cell Factories,"Li C., Ying L., Zhang S., Chen N., Liu W., Tao Y.",BBa_J23119,biobrick_fulltext_search
PMC4522091,26236397,10.1186/s13068-015-0291-2,Model-driven intracellular redox status modulation for increasing isobutanol production in Escherichia coli,"Few strains have been found to produce isobutanol naturally. For building a high performance isobutanol-producing strain, rebalancing redox status of the cell was very crucial through systematic investigation of redox cofactors metabolism. Then, the metabolic model provided a powerful tool for the rational modulation of the redox status. Firstly, a starting isobutanol-producing E. coli strain LA02 was engineered with only 2.7 g/L isobutanol produced. Then, the genome-scale metabolic modeling was specially carried out for the redox cofactor metabolism of the strain LA02 by combining flux balance analysis and minimization of metabolic adjustment, and the GAPD reaction catalyzed by the glyceraldehyde-3-phosphate dehydrogenase was predicted as the key target for redox status improvement. Under guidance of the metabolic model prediction, a gapN-encoding NADP+ dependent glyceraldehyde-3-phosphate dehydrogenase pathway was constructed and then fine-tuned using five constitutive promoters. The best strain LA09 was obtained with the strongest promoter BBa_J23100. The NADPH/NADP + ratios of strain LA09 reached 0.67 at exponential phase and 0.64 at stationary phase. The redox modulations resulted in the decrease production of ethanol and lactate by 17.5 and 51.7% to 1.32 and 6.08 g/L, respectively. Therefore, the isobutanol titer was increased by 221% to 8.68 g/L. This research has achieved rational redox status improvement of isobutanol-producing strain under guidance of the prediction and modeling of the genome-scale metabolic model of isobutanol-producing E. coli strain with the aid of synthetic promoters. Therefore, the production of isobutanol was dramatically increased by 2.21-fold from 2.7 to 8.68 g/L. Moreover, the developed model-driven method special for redox cofactor metabolism was of very helpful to the redox status modulation of other bio-products. The online version of this article (doi:10.1186/s13068-015-0291-2) contains supplementary material, which is available to authorized users.",2015,Biotechnology for Biofuels,"Liu J., Qi H., Wang C., Wen J.",BBa_J23100;BBa_J23102;BBa_J23105;BBa_J23106;BBa_J23118,biobrick_fulltext_search
PMC4444344,26010244,10.1371/journal.pone.0126264,Multi-Faceted Characterization of a Novel LuxR-Repressible Promoter Library for Escherichia coli,"The genetic elements regulating the natural quorum sensing (QS) networks of several microorganisms are widely used in synthetic biology to control the behaviour of single cells and engineered bacterial populations via ad-hoc constructed synthetic circuits. A number of novel engineering-inspired biological functions have been implemented and model systems have also been constructed to improve the knowledge on natural QS systems. Synthetic QS-based parts, such as promoters, have been reported in literature, to provide biological components with functions that are not present in nature, like modified induction logic or activation/repression by additional molecules. In this work, a library of promoters that can be repressed by the LuxR protein in presence of the QS autoinducer N-3-oxohexanoyl-L-homoserine lactone (AHL) was reported for Escherichia coli, to expand the toolkit of genetic parts that can be used to engineer novel synthetic QS-based systems. The library was constructed via polymerase chain reaction with highly constrained degenerate oligonucleotides, designed according to the consensus -35 and -10 sequences of a previously reported constitutive promoter library of graded strength, to maximize the probability of obtaining functional clones. All the promoters have a lux box between the -35 and -10 regions, to implement a LuxR-repressible behaviour. Twelve unique library members of graded strength (about 100-fold activity range) were selected to form the final library and they were characterized in several genetic contexts, such as in different plasmids, via different reporter genes, in presence of a LuxR expression cassette in different positions and in response to different AHL concentrations. The new obtained regulatory parts and corresponding data can be exploited by synthetic biologists to implement an artificial AHL-dependent repression of transcription in genetic circuits. The target transcriptional activity can be selected among the available library members to meet the design specifications of the biological system.",2015,PLoS ONE,"Zucca S., Pasotti L., Politi N., Casanova M., Mazzini G., Cusella De Angelis M., Magni P.",BBa_B0015;BBa_B0032;BBa_B0034;BBa_E0040;BBa_E0240;BBa_E1010;BBa_I13507;BBa_I14032;BBa_I763007;BBa_J107010;BBa_J107012;BBa_J107100;BBa_J107101;BBa_J107102;BBa_J107103;BBa_J107104;BBa_J107105;BBa_J107106;BBa_J107107;BBa_J107108;BBa_J107109;BBa_J107110;BBa_J107111;BBa_J107120;BBa_J107121;BBa_J107122;BBa_J107123;BBa_J107124;BBa_J107125;BBa_J1071xx;BBa_J23100;BBa_J23101;BBa_J23102;BBa_J23104;BBa_J23105;BBa_J23106;BBa_J23110;BBa_J23114;BBa_J23116;BBa_J23117;BBa_J23118;BBa_J23119;BBa_J231xx;BBa_J61002;BBa_K516032;BBa_R0011;BBa_R0051;BBa_R0061;BBa_S03119,biobrick_fulltext_search
